id,name,cost mult,build time,income,upkeep,downgrade,upgrade,tags,data,image,plugin,desc,order,disruptDanger
orbitalComplex,Orbital Complex,200,180,,3,,orbitalComplexI,"station, sub_item, unraidable, structure","{
radius:90,
variant:fed_orbitalStationComplex_unarmed,
fleetName:Spacedock,
}",graphics/icons/industry/orbital_station.png,com.fs.starfarer.api.impl.campaign.econ.impl.OrbitalStation,"One of the Federation's most enduring stations, the orbital complex is a station with multipurpose use. It has been used as a staging area, command center, center defense point, research station, outpost, and more. It can even serve as a temporary habitat station. It's a vital station design that has endured the test of time and continues to see use. However, almost all stations come with no defenses save for a few deployable fighters and auxiliary craft. In order to shore up defense, often times, defense platforms are station near these stations when needed. Stations near the core Federation worlds likely do not have defense platforms but vulnerable ones often do.

Must be reduced before a bombardment can be attempted.",2010,
orbitalComplexI,Orbital Complex Defense,200,180,,3,orbitalComplex,,"station, battlestation, unraidable, structure","{
radius:90,
variant:fed_orbitalStationComplex_phaserDefenseMKI,
fleetName:Spacedock,
}",graphics/icons/industry/orbital_station.png,com.fs.starfarer.api.impl.campaign.econ.impl.OrbitalStation,"One of the Federation's most enduring stations, the orbital complex is a station with multipurpose use. It has been used as a staging area, command center, center defense point, research station, outpost, and more. It can even serve as a temporary habitat station. It's a vital station design that has endured the test of time and continues to see use. However, almost all stations come with no defenses save for a few deployable fighters and auxiliary craft. In order to shore up defense, often times, defense platforms are station near these stations when needed. Stations near the core Federation worlds likely do not have defense platforms but vulnerable ones often do.

Must be reduced before a bombardment can be attempted.",2010,
jupiterType,Jupiter Type Station,200,180,,3,,jupiterTypeI,"station, sub_item, unraidable, structure","{
radius:90,
variant:fed_jupiterStation,
fleetName:Jupiter Type Station,
}",graphics/icons/industry/orbital_station.png,com.fs.starfarer.api.impl.campaign.econ.impl.OrbitalStation,"The Jupiter-class station is a highly-modular research installation found in many different configurations around the Federation. First constructed in the 2330s, this design is one of the most common space stations in Federation space because of its ease of construction and versatility. These stations do not come with armanents since they are mostly research stations and serve as supply and fuel depots. As such, they rely heavily on support from fleets. Another option is deploying defense platforms for the station, usually phaser and torpedo platforms that take on the role of defense for the station. Even so, employing these stations as defense platforms isn't really a go to.

Must be reduced before a bombardment can be attempted.",2010,
jupiterTypeI,Jupiter Type Station,200,180,,3,jupiterType,,"station, battlestation, unraidable, structure","{
radius:90,
variant:fed_jupiterStation_MKII,
fleetName:Jupiter Type Station,
}",graphics/icons/industry/orbital_station.png,com.fs.starfarer.api.impl.campaign.econ.impl.OrbitalStation,"The Jupiter-class station is a highly-modular research installation found in many different configurations around the Federation. First constructed in the 2330s, this design is one of the most common space stations in Federation space because of its ease of construction and versatility. These stations do not come with armanents since they are mostly research stations and serve as supply and fuel depots. As such, they rely heavily on support from fleets. Another option is deploying defense platforms for the station, usually phaser and torpedo platforms that take on the role of defense for the station. Even so, employing these stations as defense platforms isn't really a go to.

Must be reduced before a bombardment can be attempted.",2010,
regulaType,Regula Type Station,200,180,,3,,regulaTypeI,"station, sub_item, unraidable, structure","{
radius:90,
variant:fed_regulaTypeStation,
fleetName:Regular Type Station,
}",graphics/icons/industry/orbital_station.png,com.fs.starfarer.api.impl.campaign.econ.impl.OrbitalStation,"The Regula Station type is perhaps one of the most well-known stations in within the Federation. The Orbital Complex owes a lot of it's design to the Regula station. These stations often serve as outposts and starbases. However because of it's design, these stations are limited in their defenses. They are supported by nearby vessels and launchable fighters. Most Regula Type stations are employed for research use. Many have been lost or destroyed wtihout fanfare, oftentimes by their own research or pirates. 


An option for weaponizing these stations is deploying defense platforms. These serve to protect the station as the station provides shielding for the platforms or uses its shields to hold out until a vessel or fleet can come and defend the station.

Must be reduced before a bombardment can be attempted.",2010,
regulaTypeI,Regula Type Station,200,180,,3,regulaType,,"station, battlestation, unraidable, structure","{
radius:90,
variant:fed_regulaTypeStation_phaserDefense,
fleetName:Regular Type Station,
}",graphics/icons/industry/orbital_station.png,com.fs.starfarer.api.impl.campaign.econ.impl.OrbitalStation,"The Regula Station type is perhaps one of the most well-known stations in within the Federation. The Orbital Complex owes a lot of it's design to the Regula station. These stations often serve as outposts and starbases. However because of it's design, these stations are limited in their defenses. They are supported by nearby vessels and launchable fighters. Most Regula Type stations are employed for research use. Many have been lost or destroyed wtihout fanfare, oftentimes by their own research or pirates. 


An option for weaponizing these stations is deploying defense platforms. These serve to protect the station as the station provides shielding for the platforms or uses its shields to hold out until a vessel or fleet can come and defend the station.

Must be reduced before a bombardment can be attempted.",2010,
drydockDefenseNetwork,Deployed Platforms - Drydock,200,180,,3,,,"station, battlestation, unraidable, structure","{
radius:90,
variant:fed_drydock_defense,
fleetName:Shipyard Defense Platforms,
}",graphics/icons/industry/orbital_station.png,com.fs.starfarer.api.impl.campaign.econ.impl.OrbitalStation,"The Jupiter-class station is a highly-modular research installation found in many different configurations around the Federation. First constructed in the 2330s, this design is one of the most common space stations in Federation space because of its ease of construction and versatility. These stations do not come with armanents since they are mostly research stations and serve as supply and fuel depots. As such, they rely heavily on support from fleets. Another option is deploying defense platforms for the station, usually phaser and torpedo platforms that take on the role of defense for the station. Even so, employing these stations as defense platforms isn't really a go to.

Must be reduced before a bombardment can be attempted.",2010,
advancedMining,Autonomous Mining,40,90,,3,mining,,"mining, industry, industrial",,graphics/industry/autonomousMining.png,UFP.data.campaign.industry.AdvancedMining,"Mining is hard  work. However, with advanced methods employed for mining, advanced societies can reduce the need for manual labor. Even though sentient creatures are still required in order to mine, the hardest part of the labor is achieved by means of advanced technologies. This also means the hazardous aspects of the work is much reduced. In order to accomplish this, advanced computers (AI Cores) are needed to maintain the operation. Ores, organics, and volatiles are produced from the advanced mining operations employed on the planet. ",300,MEDIUM
industrialReplicator,Industrial Replicators,30,50,2.05,4,,,"industry, industrial",,graphics/industry/industrialReplicator.png,UFP.data.campaign.industry.IndustrialReplicator,"A cornerstone of Federation civilian logistics, the Industrial Replicator converts raw matter and energy into vital goods through regulated replication arrays. By easing planetary hazards, accelerating population growth, and quietly distributing authorized technology through civilian, Starfleet, and restricted channels, it ensures prosperity, resilience, and material self-sufficiency in accordance with Federation standards.",400,MEDIUM
processingPlant,Advanced Processing Plant,30,50,,2,,,"industry, industrial",,graphics/industry/advancedProcessingFacility.png,UFP.data.campaign.industry.AdvancedProcessingPlant,"This complex is a highly efficent Federation Industrial processing center that refines raw resources into advanced materials. It's accomplished by using tightly regulated matter processing and automation systems. Designed for stability and output rather than exploitation, it supports planetary self-sufficiency while adhering to Starfleet safety and environmental protocols.",400,MEDIUM
cleaningOperation,Planetary Junk Sweeper,90,180,,3,,,"industry, industrial, structure",,graphics/industry/advancedProcessingFacility.png,UFP.data.campaign.industry.PlanetSweeper,,400,MEDIUM
coalitionPatrol,Coalition Research Command,50,140,,1,,,"patrol, unraidable, tactical_bombardment, structure",,graphics/industry/starfleetHQ.png,UFP.data.campaign.industry.CoalitionCommand,This Command facility manages the deployment of Coalition type fleets. These fleets of course protect the stations or planets they are assigned too. ,100,
