id,type,text1,text2,text3,text4,notes,,,
ufp,FACTION,"The United Federation of Planets is a technologically advanced, multi-world polity built on cooperation, scientific progress, and collective defense. Governed by civilian institutions and protected by Starfleet, the Federation emphasizes exploration, research, and stability over conquest.
Earth is the political and cultural heart of the Federation and its most heavily defended system, protected by layered orbital defenses and elite Starfleet forces. Federation space produces unique population and research?focused commodities—Civilians, Cadets, Starfleet Officers, Researchers—alongside strategically vital Dilithium Ore and refined Dilithium. Starfleet doctrine favors beam weapon focused ships designed for sustained, precise combat and coordinated fleet operations.",,,,,,,
,,,,,,,,,
mercury,PLANET,"A scorched, airless terrestrial world locked in extreme temperature cycles. Mercury’s surface is dominated by vast crater fields and exposed mineral seams, making it valuable for extraction despite the harsh environment. Habitation is limited to shielded installations and automated facilities.",,,,,,,
venus,PLANET,"A dense, hostile terrestrial world shrouded in thick clouds and crushing atmospheric pressure. Superheated surface temperatures and corrosive conditions render Venus uninhabitable, though its atmosphere and gravity well support orbital infrastructure and limited high-altitude operations.",,,,,,,
earth,PLANET,"A lush terran-type world, Earth features stable climates, vast oceans, and diverse biospheres carefully preserved alongside dense urban centers. As the founding homeworld of the United Federation of Planets, it serves as a political, cultural, and scientific nexus for the Federation. Rather than focusing on heavy industry, Earth emphasizes governance, diplomacy, education, and research, reflecting Federation ideals of cooperation, exploration, and shared prosperity among its member worlds.",,,,,,,
moon_terraforming,PLANET,"A developing moon carefully guided through terraforming by the United Federation of Planets. Atmospheric processors, orbital regulators, and biosphere seeding arrays are actively reshaping the surface toward long-term habitability. While still inhospitable without support, the moon hosts Federation engineers, scientists, and planners, representing a deliberate, ethical expansion driven by sustainability, cooperation, and respect for future life.",,"A once-barren satellite undergoing extensive atmospheric and ecological conversion. Vast domed habitats, climate processors, and orbital mirrors work in concert to stabilize temperatures and seed a sustainable biosphere. Though not yet fully habitable, the moon supports growing populations of specialists and settlers, serving as a strategic expansion site and a testament to advanced terraforming science.",,,,,
moon_terraformed,PLANET,"A fully terraformed moon settled under the guidance of the United Federation of Planets. Balanced ecosystems, planned population centers, and extensive environmental safeguards reflect Federation terraforming standards. Serving as a secondary population and research hub, the moon exemplifies controlled expansion focused on sustainability, cooperation, and long-term habitability.",,"Once an airless satellite, this moon now supports a stable atmosphere and a carefully engineered biosphere. Shallow seas, resilient plant life, and regulated climates mark the final success of long-term terraforming efforts. While less diverse than a natural terran world, it is fully habitable and steadily developing.",,,,,
mars,PLANET,"A cold, arid terrestrial world marked by vast red plains, ancient impact basins, and a thin atmosphere. Once geologically active, Mars now stands as a harsh but resource?rich planet, supporting limited habitation through sealed settlements and life?support infrastructure.",,"A dry terrestrial world under the stewardship of the United Federation of Planets. Long used as a center for scientific research and frontier habitation, Mars supports sealed cities, orbital infrastructure, and extensive surface installations. The planet serves as a proving ground for Federation planetary science and long-term settlement planning.",,,,,
mars_terraforming,PLANET,"A dry terrestrial world undergoing large scale terraforming. Atmospheric processors, polar melting arrays, and soil conditioning projects are slowly thickening the air and raising surface temperatures. While still hostile, the planet hosts a growing population of engineers, scientists, and settlers preparing Mars for long-term habitability.",,"A terrestrial world actively undergoing terraforming by the United Federation of Planets. Atmospheric thickening, hydrological restoration, and biosphere seeding projects are steadily reshaping the planet’s surface. Federation research teams and engineers oversee the process, emphasizing ecological balance, gradual development, and long-term sustainability.",,,,,
mars_terraformed,PLANET,"A fully terraformed terrestrial world with stabilized climates, breathable atmosphere, and expanding biospheres adapted from hardy pioneer species. Though still drier and less oceanic than a true terran world, Mars now supports open settlements and agriculture, standing as a successful example of sustained planetary engineering.",,"A fully terraformed world and established member colony of the United Federation of Planets. Mars now possesses a stable atmosphere, open-air settlements, and expanding ecosystems adapted to its unique geography. As a symbol of Federation scientific achievement, the planet supports civilian populations, research institutions, and regional governance within Federation space.",,,,,
jupiter,PLANET,"A massive gas giant dominating its system with immense gravity and powerful radiation belts. Jupiter’s turbulent atmosphere is marked by vast storm systems and layered cloud bands, while its extensive magnetosphere shapes local space conditions and orbital dynamics.",,,,,,,
saturn,PLANET,"A gas giant distinguished by its expansive and complex ring system. Saturn’s upper atmosphere features strong winds and long-lived storms, while its rings and numerous moons form a dense and dynamic orbital environment of scientific and navigational significance.",,,,,,,
uranus,PLANET,"An ice giant with a tilted axis that produces extreme seasonal variations. Its pale atmosphere contains methane-rich clouds and subdued storm activity, while faint rings and an unusual magnetic field define its remote and unstable space environment.",,,,,,,
neptune,PLANET,A distant ice giant characterized by intense winds and violent atmospheric storms. Deep blue cloud layers and powerful weather systems make Neptune one of the most dynamically active planets in the outer reaches of the system.,,,,,,,
,,,,,,,,,
#Hull id - FRIGATE,#type,#text1,,,,,,,
fed_ventureScout,SHIP,"Truly, this class is an Auxilary Craft. It's built in the line of the idea of a Runabout. It's a short range vessel, used for scouting, but not in the same vein as larger scout vessels. It's a short -range scouting vessel, without powerful snesor capabilities. The Venture auxiliary craft is manueverable and well-equipped for it's size. If a civillian were to get their hands on this ship, she'd actually be rathe spritely for ship life, offering farily good internal living space ... but for no more than four people. 

TACTICAL: As an Auxiliary Craft, it's powerful compared to its contemparies. You'd probably hate to be surrounded by multiple of these ships in the wrong class of starships. ",,,,,,,
fed_centaur,SHIP,"The Centaur class is an older Federation scout and light cruiser design derived from Excelsior-era technology. Originally intended as a smaller, faster counterpart to the Miranda class, the Centaur ultimately filled a different niche: long-range scouting, patrol, and reconnaissance duties along Federation frontiers. While once common, the class has largely been retired and only lingered in limited service roles into the late 24th century.

Centaur class vessels are optimized for scouting rather than in-depth exploration. They carry a reduced version of the Excelsior class planetary scanning array on the ventral surface of the saucer, allowing them to identify promising worlds and anomalies from long range. However, their internal science facilities are minimal, focused on sample collection and probe deployment rather than detailed analysis. Their primary role is to locate points of interest and pass that data along to more capable survey or science vessels.

A common task for the Centaur is the deployment and servicing of sensor beacons and unmanned outposts in frontier regions. These ships often operate well beyond the reach of their onboard labs by relying on probes and remote sensors, extending Starfleet’s observational footprint without committing larger assets. They are also frequently used as tenders for remote sensor networks, collecting data and performing maintenance runs.

Diplomatic capability aboard the Centaur is extremely limited. The class lacks dedicated guest accommodations, and any diplomatic activity must be conducted in standard crew spaces. Because of this, Centaur?class ships are rarely assigned formal diplomatic missions, though their unassuming profile has occasionally made them useful for low-visibility or discreet operations.


Life aboard the Centaur is cramped and demanding. Automation is limited, maintenance is labor?intensive, and crew accommodations are poor compared to newer small vessels. Assignments are typically short, and postings are rarely considered prestigious. Despite this, the class’s long service history has fostered a sense of pride among its crews, who often view keeping a Centaur operational as a badge of honor.

TACTICAL: For its size, the Centaur class is well armed, carrying strong forward and aft torpedo coverage and respectable phaser banks. In its prime, it was capable of engaging Klingon Birds-of-Prey and similar light combatants. In later years, it is best suited to deterring pirates, smugglers, and raiders rather than sustained combat. Centaur crews favor hit-and-run tactics, as the class lacks the durability to withstand prolonged engagements. While fast and maneuverable, it is very much a glass cannon by modern standards.
",,,,,,,
fed_nova,SHIP,"The Nova class surveyor is one of the most common science vessels in Starfleet service, with several hundred units constructed since its introduction in the early 2370s. Efficient and well-equipped, the class was designed to perform in-depth surveys of star systems and planetary bodies, with a particular emphasis on M-class worlds and pre-colonization assessment.

The Nova class excels at short duration exploratory missions. Rather than ranging widely across multiple sectors, ships of this class are typically assigned to a single star system for extended periods, often remaining on station for months at a time to conduct comprehensive scientific analysis. Compared to larger explorer type vessels, which perform broad reconnaissance, the Nova specializes in detailed follow-up work—cataloging planetary environments, evaluating habitability, and conducting focused research programs.

A key improvement over the Oberth class it replaced is survivability. The Oberth was highly vulnerable and poorly suited to operations in increasingly dangerous regions of space, leading to significant losses to pirates, raiders, and anomalies. The Nova class does not share this weakness. Derived from a wartime design lineage, it carries modern defensive systems and is fully capable of protecting itself against light threats, allowing it to operate safely in regions where Oberth class vessels could not.

TACTICAL: The Nova class is not a frontline combat vessel, but it is far from defenseless. Fast, maneuverable, and well-armed for its size, it can and will fight when necessary. Nova class ships are particularly effective in support roles, where their speed and firepower allow them to harass larger opponents, cover flanks, or reinforce light task groups. Mixed formations of Saber and Nova class vessels can present a surprisingly dangerous threat to enemy forces, making the Nova a valuable contributor to fleet operations despite its scientific focus.",,,,,,,
fed_saber,SHIP,"Easy to build and easy to maintain, the Saber class is a simple, modern starship produced in large numbers for Starfleet service. Designed in response to the disaster at Wolf 359, the Saber entered service just in time for the Dominion War and quickly proved itself as a fast, agile, and reliable escort and patrol vessel. It serves primarily in the roles of scout and frigate, emphasizing maneuverability and survivability over raw firepower.

While not a dedicated science vessel, the Saber class retains limited scientific capability, as is typical for Federation starships. In practice, however, it is best understood as a tactical support platform. Saber class ships are most often deployed alongside larger vessels, screening capital ships, patrolling borders, and responding quickly to emerging threats. Though not a true warship, the Saber excels in defensive roles, where its compact profile and reinforced structure make it a difficult target.

The Saber’s hull integrates its primary and secondary structures into a single, unified spaceframe, a radical departure from older Starfleet designs. This simplified construction increases durability and reduces maintenance requirements, while also contributing to the ship’s excellent maneuverability. Heavy internal reinforcement allows the vessel to absorb damage more effectively than older light ships, and regenerative shielding further improves survivability.

As a smaller vessel, the Saber class is necessarily compact. Crew accommodations are functional but somewhat cramped, with shared quarters and limited recreational space. High automation allows the ship to operate with a relatively small crew, reducing logistical strain, but also limits its ability to remain on long-duration deployments. As a result, Saber class ships typically operate close to established bases and support infrastructure.

TACTICAL: The Saber class performs best when deployed in groups. Squadrons of three to five Sabers operating alongside a heavier combatant can be extremely effective, using speed and maneuverability to harass enemy vessels and exploit openings created by their larger allies. Strong forward facing weapons allow the Saber to strike decisively, then disengage before sustaining serious damage. While not intended for prolonged combat, the class is highly effective as a fleet escort, picket ship, and rapid-response platform.",,,,,,,
fed_freedom,SHIP,"The Freedom class scout is a long serving patrol and reconnaissance vessel commonly assigned to border regions of Federation space. These ships are most often deployed to outlying colony worlds and lightly traveled space lanes, where they serve as customs enforcement cutters, search-and-rescue platforms, and general law-and-order patrol ships. In this role, they function as the closest thing Starfleet has to a spaceborne police vessel.

As scout ships, Freedom class vessels are equipped with powerful long range sensor arrays, giving them excellent detection and tracking capability for their size. At the time of their introduction, these sensors were considered state-of-the-art and allowed the class to perform stellar cartography missions, long baseline surveys, and early warning reconnaissance well ahead of larger starships. Even in the modern era, their sensors remain their most valuable asset.

By contemporary standards, however, the Freedom class is antiquated. Built using older design philosophies and technology, these ships lack the modularity and efficiency of later scout and frigate designs. Shipboard life is cramped and uncomfortable, with poor separation between living and working spaces, and limited recreational facilities. As a result, Freedom class assignments are unpopular among Starfleet personnel.

Because of their age and limited upgrade potential, the class is gradually being phased out of front?line service in favor of newer scout and patrol vessels. Starfleet has determined that most Freedom?class hulls are not worth refitting beyond basic maintenance, and surviving units are increasingly relegated to low?intensity patrol duties, training roles, or planetary defense forces.

TACTICAL: The Freedom class is not a strong combatant by modern standards, but it can hold its own in small skirmishes. It is primarily a patrol and scout vessel, best suited to deterrence rather than direct confrontation. Against pirates, smugglers, and light raiders, a Freedom class ship remains an effective presence. It is relatively quick at sublight speeds and reasonably maneuverable, though its handling is limited compared to newer designs. In combat situations, its role is to identify threats, delay if necessary, and call in heavier Starfleet assets.",,,,,,,
fed_challenger,SHIP,"The Challenger class light cruiser was developed as part of the Fleet Modernization Program that ultimately led to the Galaxy class explorer. Serving as one of the key testbeds for technologies and design concepts later used in the Galaxy, the Challenger occupies an important transitional role in Starfleet history. While capable of independent exploration duties, it was never intended to serve as a front-line explorer and instead focused on secondary exploration and support missions.

Challenger class vessels are most often assigned to exploration within Federation territory. Their typical duties include surveying known systems that never received detailed scans, conducting preliminary long-range observations, and performing full system sweeps ahead of more specialized science or explorer vessels. Compared to smaller patrol ships like the Freedom class, the Challenger offers significantly better crew accommodations and internal space without sacrificing sensor strength or probe capacity.

Although the class is aging, Challenger class ships remain in limited service well into the 25th century. Their sensor suites and probe systems remain effective, and their internal layout avoids the excessive space penalties seen in earlier scout designs. As a result, they continue to be useful as exploratory support ships, courier vessels, and patrol cruisers, even as the class gradually phases out of active production.

TACTICAL: Challenger class ships saw frequent use during the Federation-Cardassian border conflicts. While not as tactically refined as the New Orleans class, the Challenger performs reliably in combat. It is slightly slower than its cousin but equally maneuverable, allowing it to hold its own in skirmishes and defensive engagements. Though no longer considered a modern combatant, the Challenger remains capable of defending itself and supporting fleet operations when necessary.",,,,,,,
fed_springfield,SHIP,"The Springfield class science vessel was developed as part of the Fleet Modernization Program that ultimately led to the Galaxy class explorer. Purpose built to replace aging Miranda and Oberth class ships, the Springfield was designed as a dedicated research platform rather than a generalist starship. It remains a useful and capable science vessel even into the early 25th century, though the class is now clearly approaching the end of its service life.

Springfield class vessels are well suited for long?duration research missions. As science ships, they carry powerful sensor arrays and specialized equipment intended to support extended scientific investigation rather than rapid exploration. While capable of independent operation, they are not considered front line explorers. Instead, they are typically assigned to secondary exploration tasks within safer regions of Federation space, leaving deep space and first contact missions to larger vessels such as the Galaxy and Nebula classes.

The class is flexible in its scientific role, with the ability to be configured for discipline?specific research or operate as a generalist science platform. Their internal volume is devoted primarily to laboratories, sensor processing, and probe systems rather than heavy armament, making them especially effective for focused studies that require time and stability rather than mobility.

The Springfield is also capable of handling diplomatic duties as a secondary mission profile. Its size and internal layout allow for comfortable accommodations, conference facilities, and limited VIP transport. While not intended to serve as a primary diplomatic vessel, it is well suited to hosting negotiations related to scientific access, survey rights, or cooperative research efforts.

TACTICAL: Although classified as a science vessel, the Springfield class is not defenseless. It carries respectable beam weapon coverage and shields that are strong for a ship of its size, allowing it to operate safely in regions that are not fully secured. The ship is not intended for prolonged combat, but it can hold its own in short engagements. Springfield captains are advised to end fights quickly or disengage and regroup with more combat focused vessels when facing serious threats.",,,,,,,
fed_newOrleans,SHIP,"Designed as a true multi-role starship, the New Orleans class is one of Starfleet’s most versatile mid?sized vessels. Developed as part of the Fleet Modernization Program that ultimately produced the Galaxy class explorer, the New Orleans served as a smaller scale testbed for many of the systems and design philosophies that would later define Starfleet’s flagship explorers. As a result, it occupies a unique position between patrol ships and larger exploration cruisers.

New Orleans class vessels are routinely assigned a wide range of missions, including patrol, general exploration, light and secondary exploration, system surveys, and reconnaissance. They are frequently deployed within Federation space or along its borders, conducting full system sweeps and follow-up exploration where larger explorers are unnecessary or unavailable. While capable of basic intelligence and observation work, they are not dedicated espionage platforms, instead serving as reliable generalists that can adapt to changing mission requirements.

As a science platform, the New Orleans is competent but unexceptional. Its internal scientific facilities are basic compared to larger multi-mission ships or dedicated science vessels, and it is often used as a stand-in when a proper science ship cannot be spared. What sets the class apart, however, is its modular mission pod system mounted above the saucer. These pods can be configured for sensors, science, cargo, passengers, medical support, or shuttle capacity, allowing the ship to be tailored quickly for narrow mission profiles. While highly useful, these pods are unique to the New Orleans hull and cannot be shared with other classes.

Though versatile and widely respected, the New Orleans never achieved the fame of iconic Federation starships such as the Galaxy, Excelsior, Ambassador, or Constitution. Instead, it became the Federation’s dependable workhorse—well-known, widely used, and rarely celebrated. Its crews perform essential missions quietly and without fanfare, keeping Starfleet’s exploratory and patrol operations running smoothly behind the scenes.

TACTICAL: The New Orleans class is impressively equipped for a ship of its size. While not intended as a frontline combatant, it performs best as a tactical support vessel operating alongside heavier warships. In skirmishes, it can hold its own, and against pirates or raiders it is more than sufficient to dominate the engagement. Strong beam coverage, reliable torpedo armament, and solid maneuverability make it a dependable contributor to fleet actions rather than a liability.",,,,,,,
,,,,,,,,,
#Hull id - DESTROYERS,#type,#text1,,,,,,,
fed_defiant,SHIP,"The Defiant class escort was born out of necessity, developed in direct response to the Borg incursions of the 2360s and the catastrophic losses suffered at Wolf 359. Unlike any Starfleet vessel before it, the Defiant was designed from the ground up with combat as its primary function. Small, fast, and brutally powerful for its size, it represents a sharp departure from Starfleet’s traditional design philosophy.

Originally intended solely as a tactical platform, the Defiant proved its worth during the Dominion War, where it excelled as an escort, strike vessel, and defensive screen for larger ships and strategic installations. In the decades since, advances in automation and internal refits have expanded the class’s mission profile, allowing it to operate with a reduced crew while gaining limited independence from constant starbase support. Despite these improvements, the Defiant remains a fundamentally combat focused vessel.

Though compact, the Defiant carries a surprisingly capable sensor suite, optimized for threat detection, defensive operations, and intelligence gathering. Over time, upgrades have made these systems flexible enough to support basic scientific reconnaissance. While not suitable for extended deep space exploration, modern Defiant class ships can conduct initial surveys or reconnaissance missions in dangerous or contested regions where sending a larger vessel would be impractical.

Diplomatic capability aboard the Defiant is minimal but functional. Facilities are spartan, with limited guest accommodations and a small conference space, making it unsuitable for formal negotiations. However, its speed and firepower make it an excellent courier for high risk diplomatic transport, where protection matters more than comfort. In such cases, the ship’s no-nonsense presence can itself be a strategic asset.

Life aboard a Defiant class ship is utilitarian. Crew spaces are compact, amenities are limited, and automation replaces comfort wherever possible. In exchange, crews develop a strong sense of camaraderie and cohesion, forged by close quarters and demanding operations. The Defiant is not a ship for luxury or prestige, but for crews who value effectiveness, resilience, and purpose.

TACTICAL:The Defiant class is the most combat?oriented starship ever fielded by Starfleet. Armed with pulse phaser cannons, quantum torpedoes, regenerative shields, and ablative armor, it delivers disproportionate firepower for its size. Rather than engaging in prolonged fleet actions, Defiants excel as escorts, interceptors, and strike ships, operating alongside larger vessels or conducting hit?and?run attacks. While another power might label it a warship, Starfleet employs the Defiant strictly as an escort—designed to defend, deter, and survive against overwhelming threats.

",,,,,,,
fed_defiantPras,SHIP,"Somehow, the benefactor Mr. Pras got his hands on a Defiant class husk. The vessel was in one of Starfleet's mothball yards. The notes on the vessel indicated that it was a failed ship to begin with. Starfleet's best engineers could not wrangle the ship into a performant one. With shadowy skills, Mr. Pras procured this vessel for himself. Spending the greatest amount of credits without care or worry, the best engineers in the known galaxy got their hands on the Defiant husk. With irritation and great effort, the ship was restored to glory. It took some sacrifice to get her to the spec their benefactor wished for. 

Sacrificing crew space and a bit of internal volume, the vessel was outfitted with the best armor and shield emitters available for the ship of that size. The engineers were even able to kit out even more weapon modules in the hull. This is truly the most dangerous Defiant in the sector, and Mr. Pras' personal vehicle of travel when leaving his station. Not even a Federation capital ship would mess with this puppy. 
",,,,,,,
fed_miranda,SHIP,"There are probably a billion of these ships in service. Not literally—but the Miranda class is one of the most widely produced starship designs in Federation history. Over its long career, it served as a light cruiser, frigate, science ship, supply vessel, and eventually an auxiliary transport. The class was prized for its balance: capable in nearly every role without truly excelling in any one. For much of the 23rd and 24th centuries, the Miranda was the backbone of Starfleet.

Originally fielded as a front-line light cruiser, the Miranda served extensively during the Federation’s major conflicts. During the Federation-Cardassian War, it operated primarily as a frigate. In the Borg and Dominion conflicts, it once again filled that role—but by then, the class was showing its age. Though reliable and numerous, the Miranda suffered heavy losses against modern threats, its design no longer suited for high?intensity fleet combat.

For decades, Miranda class ships also served as front?line explorers, operating alongside vessels such as the Excelsior, Constitution, Ambassador, and Constellation classes. By the time the Ambassador class entered service, the Miranda was increasingly pushed into second-line survey and scientific missions. Even then, it remained useful, flexible, and familiar to Starfleet crews.

In the modern era, however, the Miranda has largely exited mainline Starfleet service. Most surviving hulls have been transferred to Starfleet Auxiliary, where they serve as transports, supply ships, surveyors, and hospital vessels. Many have been disarmed entirely, with their rollbar weapons assemblies removed. While some armed examples lingered briefly into the late 24th century, these are now rare, and their remaining service life is short.

Life aboard the Miranda was considered comfortable by the standards of its time. While lacking modern amenities such as holodecks, it offered generous crew spaces, recreation facilities, and a layout intended for multi-year deployments. By the late 24th century, these comforts felt dated rather than luxurious, and assignments aboard Miranda class ships—particularly in auxiliary service—are now considered something of a novelty rather than a privilege.

No Miranda class ships remain in mainline Starfleet service. Those still operating under Starfleet Auxiliary continue to perform valuable but unglamorous work, quietly carrying supplies, patients, and researchers across Federation space. Though the class has finally passed its prime, its legacy is unmatched. Few starship designs have served as long, in as many roles, or shaped as many Starfleet careers as the Miranda.

TACTICAL: Once, the Miranda was a dangerous ship—arguably more threatening than the Constitution class in certain engagements thanks to its torpedo coverage and maneuverability. In the modern era, however, it is badly outmatched by newer designs. Compared to ships like the Saber or Norway, a single Miranda is at a severe disadvantage. In numbers, they can still pose a problem, but that era has passed. Today, Miranda class ships are sometimes used to shore up secondary fleet elements, though even this role is rapidly being taken over by newer frigates. Compared to the Centaur class, the Miranda remains the stronger platform—but that is faint praise by 25th century standards.",,,,,,,
fed_norway,SHIP,"The Norway class is a light cruiser designed primarily for scientific and diplomatic missions, with secondary combat capability. Developed in the aftermath of Wolf 359, the class reflects Starfleet’s shift toward more survivable, multi-role vessels without committing to dedicated warship designs. While capable of independent operation, Norway class ships are most often assigned missions within or near Federation space.

The class occupies a middle ground between true science vessels and general purpose cruisers. Norway class ships carry more laboratories and research facilities than most light cruisers, allowing them to conduct extended scientific studies, planetary surveys, and stellar research without the resource demands of larger explorers. Compared to the Nova class, the Norway offers greater internal volume, longer endurance, and better support for complex experiments, though at the cost of a larger crew.

Diplomacy is a core function of the class. The Norway was designed to replace the Challenger class as Starfleet’s preferred diplomatic courier, featuring extensive conference facilities and adaptable accommodations for multiple ambassador level delegations. Its speed, defenses, and armament allow it to operate confidently in unstable regions, making it well suited for second-contact missions, prolonged negotiations, and service as a mobile base for flag officers or diplomats.

Norway class ships are rarely assigned routine patrol duties, as their scientific and diplomatic capabilities are consistently in demand elsewhere. Crews tend to be science or diplomacy focused, and service aboard the class is generally regarded as comfortable and collegial rather than prestigious. While unremarkable in headline making terms, the Norway class has proven to be a reliable and adaptable workhorse that continues to see steady service well into the late 24th century.

TACTICAL: Though not a warship, the Norway class is significantly more combat capable than the vessels it replaced. It mounts modern phaser arrays and forward and aft torpedo launchers, allowing it to perform effectively against frigates and smaller combatants. In fleet actions, Norway class ships are typically assigned screening duties, protecting larger explorers by intercepting lighter enemy vessels. Ablative armor and a low frontal profile improve survivability, though sustained engagements against heavy combatants are avoided.",,,,,,,
fed_steamrunner,SHIP,"The Steamrunner-class was developed as a modern replacement for the long-serving Miranda-class, intended to handle a wide range of general-purpose missions from a compact and efficient platform. Entering service in the late 2360s, the class was designed to perform diplomatic, scientific, and exploration duties without specializing too heavily in any one role.

Unlike dedicated science vessels, the Steamrunner carries a modest but capable scientific suite. It is well-suited for general surveys, system-wide scans, and exploratory missions within or near Federation territory, though it lacks the depth required for long-duration or highly specialized research assignments. In this role, it often fills the gap between larger explorers and smaller patrol craft.

Diplomatic capability is present but limited. The class includes accommodations for small delegations and short-term diplomatic missions, making it suitable for courier work, negotiations of limited scope, or follow-up diplomacy once initial contact has already been established by larger vessels. It was never intended to replace full diplomatic cruisers, but it performs adequately when required.

The Steamrunner’s design emphasizes a low tactical profile and survivability. Its broad primary hull and angled nacelles reduce exposure during combat, while key systems such as the bridge and deflector are recessed and well-protected. These design choices reflect lessons learned from early Borg encounters and influenced several later Starfleet hull designs.

Living conditions aboard the Steamrunner are generally comfortable. While not luxurious, the class offers ample recreational space for its relatively small crew, including holodecks and large communal areas. As a result, service aboard a Steamrunner is considered more desirable than on older light cruisers it replaced.

TACTICAL:Though not intended as a front-line combat vessel, the Steamrunner-class is a capable defensive ship. Originally lightly armed, combat experience—particularly during the early Dominion conflicts—led to upgrades that significantly improved its firepower. In combat, Steamrunners perform best as escorts and support ships, defending larger vessels or engaging raiders and light warships. They are fast, maneuverable, and durable, but prolonged engagements against heavy combatants are avoided.
Despite later being overshadowed by newer light cruisers, the Steamrunner remains in service well into the late 24th century due to its reliability, low operating cost, and versatility. While unlikely to achieve fame, it is regarded as a dependable workhorse that quietly fulfills Starfleet’s everyday mission needs.",,,,,,,
