name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sModDesc,sprite
Coalition Shields,colTechShields,2,,Col Tech,"shields, defensive, coalitionTech",Shields,84000,,,,1,2,3,4,UFP.data.hullmods.ColTechShields,"These are Coalition shields made based on observations of Federation shields. Though not quite as powerful, they are rather effective shields. They're not cheap either. ",Federation style shielding. Hitpoints are used instead of flux. Shields can recovery with the proper system installed.,,graphics/hullmods/bubbleShield_ICON.png
Borg Shield - Beta,borgShield,3,,Borg Tech,"shields, defensive, borg",Shields,75950,,,,2,4,6,8,UFP.data.hullmods.FederationShields,"Standard shields used aboard Federation vessels. Oftentimes, these shields are built into the starship. When installed, the shields make a ship different from standard Starsector type shields. Federation Shields use hitpoints rather than flux. Second, there are many vanilla weapons that are rendered ineffective against Federation shields, due to the advanced nature of Federation shields. That does not mean that Federation Shields are wholly impervious. There are still many weapons that can do chip or even heavy damage to Federation shields. ",Federation style shielding. Hitpoints are used instead of flux. Shields can recovery with the proper system installed.,,graphics/hullmods/federationShield.png
,,,,,,,,,,,,,,,,,,,
Flux Converter Capcitor,eps_conversionCapacitor,,,,"special, ufp",Vent,4200,,,,0,0,0,0,UFP.data.hullmods.FluxConversionCapacitor,"A Federation power?management upgrade that optimizes the conversion of excess reactor output during venting cycles. When installed alongside compatible systems, the capacitor dynamically redirects dissipated flux into secondary power channels, improving recovery efficiency during vent operations. On ships equipped with advanced energy management architectures, this process accelerates energy recharge while venting; on conventional designs, it recalibrates vent performance based on current load conditions. Flux Conversion Capacitor enhances sustained combat readiness by ensuring venting time is used as productively as possible.",Improves power and energy recovery while venting when paired with compatible systems.,,graphics/hullmods/fluxCapacitor.png
EPS Conduits,power_delivery,,,,"special, ufp",Power Delivery ,4200,,,,1,2,3,4,UFP.data.hullmods.EPSConduits,"A Federation Emergency Power System distribution grid that ties propulsion and strategic drive authority directly to a validated primary reactor. EPS conduits enforce strict power?integrity rules: without an approved power core installation�or if the core has suffered catastrophic failure or ejection�the ship is unable to sustain transit operations. This modification ensures that only properly integrated Federation reactor architectures can support fleet?level maneuvering, prioritizing containment safety and system integrity over improvised power routing.",Prevents strategic movement without a validated reactor core; core failure or ejection reduces max burn to zero. ,,graphics/hullmods/EPS_conduits.png
Warp Core [Small],warp_core_small,1,,Federation Tech,"special, ufp",Warp Core,25250,,,,0,4,6,0,UFP.data.hullmods.WarpCore_Small,"A compact Federation warp core intended for lighter hulls and constrained internal volumes. While fully compatible with advanced energy management systems, this core operates at reduced capacity compared to larger reactors. The small warp core emphasizes efficiency and compactness at the expense of sustained output.","Provides limited energy reserves, increasing weapon power draw on larger hulls.",,graphics/hullmods/warpCore.png
Warp Core [Standard],warp_core_standard,1,,Federation Tech,"special, ufp",Warp Core,75250,,,,0,0,0,4,UFP.data.hullmods.WarpCore_Standard,"A starship, without a warp core, is merely a spaceframe drifting through space. This standard configuration of a warp core is used to power multiple space frame designs. The power generation is efficient and reliable, providing energy through EPS conduits to systems, subsystems, weapons, and other items within the starships. Replaces flux with regulated energy management for weapons, systems, and venting.",A warp core gives the ship power for functionality.,,graphics/hullmods/warpCore.png
Warp Core [Large],warp_core_large,1,,Federation Tech,"special, ufp",Warp Core,125000,,,,0,0,8,0,UFP.data.hullmods.WarpCore_Large,"An enhanced Federation warp core designed for heavy cruisers and capital ships. It's main purpose, once again, is to provide power for a starship. A large warp core is optimized for capital ship's, with smaller cruisers actually generating more power than they need, though this can be guided in a number of useful cases.",Increases energy reserves and reduces weapon energy costs on larger ships.,,graphics/hullmods/warpCore.png
Warp Core [Intrepid],warp_core_intrepid,1,,Federation Tech,"special, ufp",Warp Core,175250,,,,100,2,0,10,UFP.data.hullmods.WarpCore_Intrepid,"An advanced Federation warp core variant engineered for select hulls, integrating tightly with regulated energy management systems. A unique warp core with incredible power generation capabilities with a higher tolerance for warp stresses placed on a vessels reactor. The Intrepid warp core is really meant for light cruisers.",Provides stable energy management with occasional surges that boost energy weapon output.,,graphics/hullmods/warpCore.png
Warp Core [Project Galaxy],warp_core_galaxy,1,,Federation Tech,"special, ufp",Warp Core,250800,,,,100,100,10,0,UFP.data.hullmods.WarpCore_Galaxy,"An advanced Federation warp core variant engineered for select hulls, integrating tightly with regulated energy management systems. The Galaxy Warp Core provides stable baseline power. The Galaxy Warp Core is designed to fit on larger Project Galaxy vessels, such as the Nebula class and Galaxy class starship.",Provides stable energy management with occasional surges that boost energy weapon output.,,graphics/hullmods/warpCore.png
Warp Core [Sovereign],warp_core_sovereign,1,,Federation Tech,"special, ufp",Warp Core,305250,,,,100,100,10,0,UFP.data.hullmods.WarpCore_Sovereign,"An advanced Federation warp core variant engineered for select hulls, integrating tightly with regulated energy management systems. The Sovereign Warp Core provides energy for the entire vessel of the Sovereign class. Stable usage of the increased output of energy in warp core technology, requires use of Type XII phasers.",Provides stable energy management with occasional surges that boost energy weapon output.,,graphics/hullmods/warpCore.png
Fusion Reactor,fusion_reactor,1,,High Tech,"special, ufp",Auxiliary Power,250000,,,,5,5,5,5,UFP.data.hullmods.FusionReactor,"The Fusion Reactor is a staple of power generation. It's reliable, well known, and well studied. Though not on par with a warp core in terms of power generated, these serve sufficiently as an alternative power source in simply providing power to a starship. However, the reactor is not capable of providing enough power to propel a ship through warp. It also comes with other downsides, such as reduced damage output for weapons and added strain on the reactor's power generation in staying in prolonged combat situations. ",Provides a fixed low-capacity energy reserve independent of the main warp core.,,graphics/hullmods/auxiliaryPower.png
Station Main Reactor,mainReactor,3,,Federation Tech,"special, ufp",Station Reactor,750900,,,,100,100,100,0,UFP.data.hullmods.StationReactor,"A high?capacity, immobile power plant designed exclusively for station?class installations. This reactor interfaces with centralized main?power control systems rather than conventional shipboard energy management, prioritizing sustained output, weapon efficiency, and containment stability. Advanced regulation allows reduced energy expenditure per shot and occasional critical surges across select weapon arrays, ensuring stations remain lethal defensive platforms over extended engagements.",Enables centralized main-power control and enhanced energy weapon performance on stations.,,graphics/hullmods/mainReactor.png
Auxiliary Power,main_power_failure,1,,,"special, ufp",Auxiliary Power,8500,,,,5,5,5,5,UFP.data.hullmods.AuxiliaryPower,"A Federation emergency power grid that supplies limited ship functionality when primary generation is unavailable or deliberately constrained. Auxiliary Power operates independently of the main warp core, maintaining a fixed fraction of total energy capacity to support minimal weapon operation and system control. While insufficient for sustained combat, this reserve prevents complete power loss and allows ships to continue operating at reduced effectiveness under extreme conditions.",Provides a fixed low-capacity energy reserve independent of the main warp core.,,graphics/hullmods/auxiliaryPower.png
,,,,,,,,,,,,,,,,,,,
Impulse Engine Mount,engine_mount,1,,Low Tech,"engines, ufp",Engines,1000,,TRUE,,0,0,0,0,UFP.data.hullmods.ImpulseEngineMounts,"Starships come with mounting points for their engines. This particular mount fits impulse engines according to their size. If there is no engine installed, the ship will only be capable of minimal flight by way of manuevering thrusters. ",Allows impulse engines to be installed on a starship.,,graphics/hullmods/impulseEngineMount.png
Impulse Engines [Small],impulseEngines_small,1,,Federation Tech,"engines, ufp",Engines,7500,,,,0,2,15,25,UFP.data.hullmods.ImpulseEngines_Small,"A compact impulse drive configuration optimized for frigates and light destroyers. When weapons are idle, the engines redirect available power into propulsion, providing a moderate boost to speed and acceleration for maneuvering and pursuit. Engine assemblies automatically recover from temporary disablement, improving survivability in extended skirmishes. On larger hulls, the reduced thrust capacity and power routing impose noticeable mobility penalties, making this variant unsuitable for sustained use on cruisers and capital ships. Impulse Engines (Small) favor agility and efficiency over raw thrust.",Improves mobility on small ships when not firing; reduces speed on larger hulls.,,graphics/hullmods/impulseEngine.png
Impulse Engines,impulse_engines,1,,Federation Tech,"engines, ufp",Engines,30500,,,,0,2,0,8,UFP.data.hullmods.ImpulseEngines,"Part of the life blood of interstellar travel, Impulse Engines are the Federation's go to propulsion method for sub light speeds. These standard engines can be fitted on many vessel types, including DESTROYER, CRUISER, and CAPITAL SHIP types. Frigates are not able to install these standard engines because of the mounting hardware. The impulse drive configuration is designed to enhance maneuverability of the hulls it is installed on. During red alert, when weapons flux is below a certain percentage, the ship is capable of a red alert mode while shields are raised. The ship gains increased speed and acceleration as long as the below percentage requirement is met.  Damaged engine assemblies are automatically repaired after a short downtime.","Enhances speed on destroyers and provides conditional low-flux mobility, but reduces mobility on capital hulls.",,graphics/hullmods/impulseEngine.png
Impulse Engines [Capital],impulse_engines_capital,1,,Federation Tech,"engines, ufp",Engines,102440,,,,0,0,10,0,UFP.data.hullmods.ImpulseEngines_Capital,"Part of the life blood of interstellar travel, Impulse Engines are the Federation's go to propulsion method for sub light speeds. Capital type Impulse Engines are designed for large powerful hulls capable of handling the stressors imposed by these powerful engines Cruisers are capable of fitting these engines through at some degrade performance cost. The impulse drive configuration is designed to enhance maneuverability of the hulls it is installed on. If in yellow or red alert, the ship gains a buff in speed and acceleration. Damaged engine assemblies are automatically repaired after a short downtime.",Enhances speed and acceleration on heavy hulls with dynamic performance boosts under active shields and low flux.,,graphics/hullmods/impulseEngine.png
,,,,,,,,,,,,,,,,,,,
#name,#id,#tier,#rarity,#tech/manufacturer,#tags,#uiTags,#base value,#unlocked,#hidden,#hiddenEverywhere,#cost_frigate,#cost_dest,#cost_cruiser,#cost_capital,#script,#desc,#short,#sModDesc,#sprite
Cargo Expansion MKI,cargo_expansion_mki,1,,,"logistics, ufp",Logistics,8000,,,,2,4,8,16,UFP.data.hullmods.CargoExpansionMKI,"Increases cargo capacity by %s and reduces fuel consumption by %s, but reduces fuel capacity by %s.",Increases cargo capacity and fuel efficiency at the cost of fuel capacity.,,graphics/hullmods/cargoHoldMKI.png
Cargo Expansion MKII,cargo_expansion_mkii,2,,,"logistics, ufp",Logistics,12500,,,,5,10,15,20,UFP.data.hullmods.CargoExpansionMKII,"Increases cargo capacity by %s, but increases fuel consumption by %s.",Increases cargo capacity and fuel efficiency at the cost of fuel capacity.,,graphics/hullmods/cargoHoldMKII.png
Cargo Expansion MKIII,cargo_expansion_mkiii,3,,,"logistics, ufp",Logistics,25250,,,,10,15,20,30,UFP.data.hullmods.CargoExpansionMKIII,"Expands cargo capacity by %s, fuel capacity by %s, and hull integrity by %s. Reduces fuel consumption by %s, crew requirements by %s, and armor by %s. Removes fighter bays.","Massively increases cargo, fuel capacity, and efficiency while reducing crew requirements, armor, and removing fighter bays.",,graphics/hullmods/cargoHoldMKIII.png
Pristine Cargo Holds,pristine_cargo_holds,3,,Federation Tech,"logistics, ufp",Logistics,50750,,,,0,0,15,0,UFP.data.hullmods.PristineCargoHolds,Restricted to %s. Increases cargo capacity by %s and fuel capacity by %s. Reduces max crew by %s and min crew by %s. Incompatible with other cargo expansion hullmods.,Cruiser-exclusive hullmod that significantly boosts cargo and fuel capacity while reducing crew requirements.,,graphics/hullmods/pristineCargoHolds.png
Fuel Tank Expansion MKI,fuel_tank_expansion_mki,1,,,"logistics, ufp",Logistics,5000,,,,2,4,8,16,UFP.data.hullmods.FuelTankExpansionMKI,"Increases fuel capacity by %s but reduces cargo capacity by %s, max crew by %s, and min crew by %s.",Increases fuel capacity at the cost of cargo capacity and crew space.,,graphics/hullmods/fuelTankMKI.png
Fuel Tank Expansion MKII,fuel_tank_expansion_mkii,2,,,"logistics, ufp",Logistics,15000,,,,5,10,15,20,UFP.data.hullmods.FuelTankExpansionMKII,"Increases fuel capacity by %s. Reduces cargo by %s, max crew by %s, min crew by %s, and armor by %s.","Significantly increases fuel capacity at the cost of cargo space, crew capacity, and armor protection.",,graphics/hullmods/fuelTankMKII.png
Fuel Tank Expansion MKIII,fuel_tank_expansion_mkiii,3,,,"logistics, ufp",Logistics,24800,,,,15,25,35,50,UFP.data.hullmods.FuelTankExpansionMKIII,"Increases fuel capacity by %s. Reduces cargo by %s, crew by %s, armor by %s, hull by %s, and supplies/mo by %s.","Massively increases fuel capacity and cuts supply costs, but severely degrades cargo, crew, armor, and hull integrity.",,graphics/hullmods/fuelTankMKIII.png
Pristine Fuel Tank Expansion,fuel_tank_pristine_expansion,3,,Federation Tech,"logistics, ufp",Logistics,32400,,,,0,0,25,0,UFP.data.hullmods.FuelTankPristineExpansion,"Restricted to %s. Increases fuel capacity by %s and cargo capacity by %s. Reduces max crew by %s, min crew by %s, and supplies/mo by %s.",Cruiser-exclusive hullmod that massively increases fuel and cargo capacity while lowering crew requirements and monthly supply costs.,,graphics/hullmods/pristineFuelTanks.png
Multi-Mission Bays,multi_mission_bays,3,,Federation Tech,"logistics, ufp",Logistics,100860,,,,0,0,0,40,UFP.data.hullmods.MultiMissionBays,"Restricted to %s. Increases cargo capacity by %s, fuel capacity by %s, and max crew by %s. Reduces minimum crew by %s, supplies/month by %s, and survey costs by %s (supplies & heavy machinery).","Capital-exclusive hullmod that expands logistics capacity, cuts crew and supply maintenance, and lowers planetary survey requirements.",,graphics/hullmods/cargoHoldMKIII.png
,,,,,,,,,,,,,,,,,,,
Holographic Fleet Emitters,holo_fleet_emitters,3,3,Federation Tech,"defensive, offensirve, special, ufp",Logistics,480250,TRUE,,,250,75,10,0,UFP.data.hullmods.HolographicFleetEmitters,"Holo-emitter technology has become more and more of a staple for the Federation rather than a 'luxury' item. Starfleet Engineering Corps managed to find a way weaponize it to shore up the defenses of starhips and stations. Stations are the greatest candidates to receive such a design. Their power plants are capable of sustaining the holograhic fleets for long periods of time before burning the emitters out. Starships can only maintain the emitter technology for bursts, before causing a full system shutdown to the starship.",,,graphics/hullmods/cargoHoldMKIII.png
